Scenario,State,Year,Capacity (GW)
LOWRECOST,NV,2032,17.85393529
LOWRECOST,NV,2034,18.15450582
LOWRECOST,NV,2036,19.58739426
LOWRECOST,NV,2038,20.21228342
LOWRECOST,NV,2040,24.78851352
LOWRECOST,NV,2042,25.20635505
LOWRECOST,NV,2044,25.61044058
LOWRECOST,NV,2046,25.4246986
LOWRECOST,NV,2048,25.27057022
LOWRECOST,NV,2050,25.88366493
LOWRECOST,ID,2020,5.783316079
LOWRECOST,ID,2022,5.822386687
LOWRECOST,ID,2024,7.460874809
LOWRECOST,ID,2026,10.36822476
LOWRECOST,ID,2028,11.78287503
LOWRECOST,ID,2030,11.83981503
LOWRECOST,ID,2032,11.95654882
LOWRECOST,ID,2034,12.44267807
LOWRECOST,ID,2036,12.79189393
LOWRECOST,ID,2038,12.78486839
LOWRECOST,ID,2040,12.61665491
LOWRECOST,ID,2042,12.66775713
LOWRECOST,ID,2044,13.19926832
LOWRECOST,ID,2046,13.27328731
LOWRECOST,ID,2048,13.32140846
LOWRECOST,ID,2050,15.94232508
HIGHRECOST,CA,2020,87.19860377
HIGHRECOST,CA,2022,86.86125379
HIGHRECOST,CA,2024,92.07761312
HIGHRECOST,CA,2026,93.45239852
HIGHRECOST,CA,2028,97.01276747
HIGHRECOST,CA,2030,102.6118837
HIGHRECOST,CA,2032,108.6368043
HIGHRECOST,CA,2034,115.6881423
HIGHRECOST,CA,2036,125.0376273
HIGHRECOST,CA,2038,135.8772731
HIGHRECOST,CA,2040,147.1674022
HIGHRECOST,CA,2042,159.227413
HIGHRECOST,CA,2044,167.055202
HIGHRECOST,CA,2046,173.6256374
HIGHRECOST,CA,2048,173.6022515
HIGHRECOST,CA,2050,176.2612839
HIGHRECOST,OR,2020,19.13007789
HIGHRECOST,OR,2022,19.80292047
HIGHRECOST,OR,2024,20.65721512
HIGHRECOST,OR,2026,21.18879084
HIGHRECOST,OR,2028,21.16627356
HIGHRECOST,OR,2030,21.25317085
HIGHRECOST,OR,2032,21.38311144
HIGHRECOST,OR,2034,21.02598918
HIGHRECOST,OR,2036,20.81534822
HIGHRECOST,OR,2038,20.40537705
HIGHRECOST,OR,2040,20.08170876
HIGHRECOST,OR,2042,19.02692513
HIGHRECOST,OR,2044,19.08531915
HIGHRECOST,OR,2046,19.03969352
HIGHRECOST,OR,2048,18.706392
HIGHRECOST,OR,2050,19.08025375
HIGHRECOST,WA,2020,34.41940008
HIGHRECOST,WA,2022,34.33001564
HIGHRECOST,WA,2024,34.25286226
HIGHRECOST,WA,2026,34.67654993
HIGHRECOST,WA,2028,35.05227523
HIGHRECOST,WA,2030,40.99784006
HIGHRECOST,WA,2032,41.6720835
HIGHRECOST,WA,2034,42.47906187
HIGHRECOST,WA,2036,43.29644044
HIGHRECOST,WA,2038,44.1418201
HIGHRECOST,WA,2040,44.95652509
HIGHRECOST,WA,2042,45.83783014
HIGHRECOST,WA,2044,49.6616103
HIGHRECOST,WA,2046,50.84096734
HIGHRECOST,WA,2048,50.85479334
HIGHRECOST,WA,2050,52.76274512
HIGHRECOST,NV,2020,12.21448401
HIGHRECOST,NV,2022,13.75958147
HIGHRECOST,NV,2024,14.36431186
HIGHRECOST,NV,2026,17.67172133
HIGHRECOST,NV,2028,19.49689642
HIGHRECOST,NV,2030,20.71813216
HIGHRECOST,NV,2032,21.03937842
HIGHRECOST,NV,2034,21.42292964
HIGHRECOST,NV,2036,21.68338218
HIGHRECOST,NV,2038,21.90986824
HIGHRECOST,NV,2040,21.92551723
HIGHRECOST,NV,2042,21.92203501
HIGHRECOST,NV,2044,22.14107084
HIGHRECOST,NV,2046,22.73594381
HIGHRECOST,NV,2048,24.27564531
HIGHRECOST,NV,2050,24.45650666
HIGHRECOST,ID,2020,6.954385989
HIGHRECOST,ID,2022,7.041219972
HIGHRECOST,ID,2024,7.802955987
HIGHRECOST,ID,2026,7.804480533
HIGHRECOST,ID,2028,8.015682188
HIGHRECOST,ID,2030,8.015704916
HIGHRECOST,ID,2032,8.366311827
HIGHRECOST,ID,2034,8.368741145
HIGHRECOST,ID,2036,8.31123198
HIGHRECOST,ID,2038,8.276051564
HIGHRECOST,ID,2040,8.357298654
HIGHRECOST,ID,2042,8.22700156
HIGHRECOST,ID,2044,8.939685229
HIGHRECOST,ID,2046,10.25250384
HIGHRECOST,ID,2048,10.13968104
HIGHRECOST,ID,2050,11.23199918
